"Timestamp","DisplayName","BaseName","ClassName","Rarity","StackSize","Enchanted1_Display","Enchanted1_Translation","Enchanted1_Values","Explicit1_Display","Explicit1_Translation","Explicit1_Values","Explicit1_ValuesMinMax","Explicit2_Display","Explicit2_Translation","Explicit2_Values","Explicit2_ValuesMinMax","Explicit3_Display","Explicit3_Translation","Explicit3_Values","Explicit3_ValuesMinMax","Explicit4_Display","Explicit4_Translation","Explicit4_Values","Explicit4_ValuesMinMax","Explicit5_Display","Explicit5_Translation","Explicit5_Values","Explicit5_ValuesMinMax","Explicit6_Display","Explicit6_Translation","Explicit6_Values","Explicit6_ValuesMinMax","AllModTranslations"
"2026-01-06T20:51:30.3583248+00:00","Replica Bloodplay","Stiletto","Dagger","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrengthUnique__20_ | LocalIncreasedPhysicalDamagePercentUniqueDagger12 | LocalAddedPhysicalDamageUniqueDagger12 | LocalChanceToBleedUniqueDagger12 | CriticalStrikeChanceAgainstBleedingEnemiesUnique__1 | ExtraGore"
"2026-01-06T20:51:30.3584260+00:00","Replica Inya's Epiphany","Arcanist Slippers","Boots","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PercentageIntelligenceUnique__4 | IncreasedLifeUnique__49_ | IncreasedDamagePerPowerChargeUnique__1 | LifeRegenerationPerPowerChargeUnique__1__ | MovementVelocityPerPowerChargeUnique__1__"
"2026-01-06T20:51:35.3647714+00:00","Tiger Sword","Tiger Sword","Two Hand Sword","Rare","","Enchantment Attribute Modifier Effect","Minions have 8% increased Projectile Speed","8","Tempered","Adds 36 to 65 Physical Damage","36;65","","of Precision","+136 to Accuracy Rating","136","","Squire's","19% increased Physical Damage
+18 to Accuracy Rating","19;18","","Weaponmaster's","+2 to Level of Socketed Melee Gems","2","","of the Remora","2.03% of Physical Attack Damage Leeched as Life","203","","","","","","Tempered | of Precision | Squire's | Weaponmaster's | of the Remora"
"2026-01-06T20:51:35.3649292+00:00","Replica Victario's Charity","Laminated Kite Shield","Shield","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IncreasedLifeUnique__12_ | LightningResistUnique__4 | ChaosResistUnique__1 | AuraEffectUnique__2____ | GrantsAlliesEnduranceChargeOnHitUnique__1 | GrantsAlliesFrenzyChargeOnKillUnique__1_"
"2026-01-06T20:51:35.3649379+00:00","Crypt Armour","Crypt Armour","Body Armour","Rare","","Enchantment Mana Modifier Effect and Attribute Requirements","25% reduced Attribute Requirements
Lose 0.1% of Life per second if you have been Hit Recently","6;-25","Opalescent","+48 to maximum Mana","48","","Rapturous","+161 to maximum Life","161","","of Ephij","+46% to Lightning Resistance","46","","of the Yeti","+29% to Cold Resistance","29","","of the Drake","+19% to Fire Resistance","19","","","","","","Opalescent | Rapturous | of Ephij | of the Yeti | of the Drake"
"2026-01-06T20:52:11.0617331+00:00","1x Tempering Orb","Tempering Orb","StackableCurrency","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:52:11.0617536+00:00","Karui Maul","Karui Maul","Two Hand Mace","Rare","","Enchantment Critical Modifier Effect","Areas contain a Mirror of Delirium","8","Gleaming","Adds 20 to 39 Physical Damage","20;39","","Reaver's","27% increased Physical Damage
+49 to Accuracy Rating","27;49","","Wicked","81% increased Physical Damage","81","","of the Leviathan","+40 to Strength","40","","of the Pugilist","7% reduced Enemy Stun Threshold","7","","of Rage","+22% to Global Critical Strike Multiplier","22","","Gleaming | Reaver's | Wicked | of the Leviathan | of the Pugilist | of Rage"
"2026-01-06T20:53:00.2788237+00:00","Replica Fencoil","Gnarled Branch","Staff","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SupportedByMultiTotemUnique__1 | AllDamageUniqueStaff4 | MaximumLifeUniqueStaff4 | MaximumManaUniqueStaff4"
"2026-01-06T20:53:00.2788359+00:00","Thief's Trinket","Thief's Trinket","Trinket","Rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to receive additional Armour items when opening a Reward Chest in a Heist | 3% chance to receive additional Gold when opening a Reward Chest in a Heist | 30% chance in Heists for Chromatic Orbs to drop as Jeweller's Orbs instead"
"2026-01-06T20:53:05.2803771+00:00","16x Chaos Orb","Chaos Orb","StackableCurrency","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:53:05.2803853+00:00","Thief's Trinket","Thief's Trinket","Trinket","Rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2% chance to receive additional Legion items when opening a Reward Chest in a Heist | 5% chance to receive additional Talismans when opening a Reward Chest in a Heist | 1% chance in Heists for Items to drop fully linked"
"2026-01-06T20:53:05.2803892+00:00","Replica Quill Rain","Short Bow","Bow","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SupportedByArrowNovaUnique__1 | DexterityUniqueBow4 | LocalIncreasedPhysicalDamagePercentUnique__26 | LocalIncreasedAttackSpeedUnique__35 | ManaGainPerTargetUnique__2 | ProjectileSpeedUniqueBow4_ | IncreasedAccuracyUniqueBow4"
"2026-01-06T20:53:38.0336750+00:00","Replica Grip of the Council","Arcanist Gloves","Gloves","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrengthUnique__4 | IncreasedLifeUnique__20 | FireResistUnique__25 | MinionLifeUnique__4__ | MinionFireResistUnique__1 | MinionPhysicalDamageAddedAsFireUnique__1"
"2026-01-06T20:53:38.0336986+00:00","Replica Earendel's Embrace","Grinning Fetish","Sceptre","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AllAttributesUnique__11 | MinionDamageUnique__5 | ZombiesCoverInAshOnHitUnique__1 | ZombiesTakeFireDamagePerSecondUnique__1_ | ZombiesHaveAvatarOfFireUnique__1"
"2026-01-06T20:53:46.0367988+00:00","Replica Grip of the Council","Arcanist Gloves","Gloves","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrengthUnique__4 | IncreasedLifeUnique__20 | FireResistUnique__25 | MinionLifeUnique__4__ | MinionFireResistUnique__1 | MinionPhysicalDamageAddedAsFireUnique__1"
"2026-01-06T20:53:51.0474433+00:00","Replica Restless Ward","Carnal Armour","Body Armour","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalIncreasedEvasionAndEnergyShieldUniqueBodyDexInt3 | IncreasedLifeUniqueBodyDexInt3 | MovementVelocityPerFrenzyChargeUnique__2 | ReducedMaximumEnduranceChargeUnique__2 | ReducedMaximumFrenzyChargesUnique__2_ | LifeRegenPerMinutePerEnduranceChargeUnique__1"
"2026-01-06T20:53:51.0474603+00:00","Replica Grip of the Council","Arcanist Gloves","Gloves","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrengthUnique__4 | IncreasedLifeUnique__20 | FireResistUnique__25 | MinionLifeUnique__4__ | MinionFireResistUnique__1 | MinionPhysicalDamageAddedAsFireUnique__1"
"2026-01-06T20:53:51.0474633+00:00","Replica Earendel's Embrace","Grinning Fetish","Sceptre","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AllAttributesUnique__11 | MinionDamageUnique__5 | ZombiesCoverInAshOnHitUnique__1 | ZombiesTakeFireDamagePerSecondUnique__1_ | ZombiesHaveAvatarOfFireUnique__1"
"2026-01-06T20:53:51.0474725+00:00","Replica Heartbreaker","Royal Skean","Rune Dagger","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpellDamageOnWeaponUniqueDagger4 | ReducedEnergyShieldDelayUniqueDagger4 | IncreasedLifeUnique__107 | ImpaleEffectUnique__1 | ChanceToImpaleWithSpellsUnique__1"
"2026-01-06T20:53:51.0474750+00:00","Replica Lioneye's Paws","Bronzescale Boots","Boots","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TriggerToxicRainOnBowAttackUnique__1 | StrengthUniqueBootsStrDex1 | DexterityUniqueBootsStrDex1 | AddedChaosDamageUnique__1 | MovementVelocityUniqueBootsStrDex1 | MovementVelocityOnLowLifeUniqueBootsStrDex1"
"2026-01-06T20:54:25.8875301+00:00","Convening Wand","Convening Wand","Wand","Rare","","Enchantment Speed Modifier Effect and White Sockets","Alert Level increases by 0.01% per second","8;1","Smoking","Adds 16 to 26 Fire Damage","16;26","","of Luck","Blade Blast deals 15% increased Damage","15","","of Ashes","27% increased Fire Damage","27","","of Rime","21% increased Cold Damage","21","","Count's","+29 to maximum Mana
Minions deal 20% increased Damage","20;29","","Searing","15% increased Fire Damage","15","","Smoking | of Luck | of Ashes | of Rime | Count's | Searing"
"2026-01-06T20:54:25.8875964+00:00","17x Regal Orb","Regal Orb","StackableCurrency","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:54:30.8927843+00:00","Replica Wings of Entropy","Ezomyte Axe","Two Hand Axe","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpellBlockPercentageUniqueTwoHandAxe6 | BlockWhileDualWieldingUniqueTwoHandAxe6 | LocalIncreasedPhysicalDamagePercentUniqueTwoHandAxe6 | UniqueWingsOfEntropyCountsAsDualWielding | OffHandVisualIdentityOverrideUniqueTwoHandAxe6 | OffHandBaseCriticalStrikeChanceUnique__1 | WingsOfEntropyMainHandAttackSpeedFinalUnique__1_"
"2026-01-06T20:54:30.8928080+00:00","18x Chaos Orb","Chaos Orb","StackableCurrency","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
