Timestamp,League,DisplayName,BaseName,ClassName,Rarity,StackSize,Enchanted1_Display
2026-01-06T20:51:30.3583248+00:00,Unknown,Replica Bloodplay,Stiletto,Dagger,Unique,,
2026-01-06T20:51:30.3584260+00:00,Unknown,Replica Inya's Epiphany,Arcanist Slippers,Boots,Unique,,
2026-01-06T20:51:35.3647714+00:00,Unknown,Tiger Sword,Tiger Sword,Two Hand Sword,Rare,,Enchantment Attribute Modifier Effect
2026-01-06T20:51:35.3649292+00:00,Unknown,Replica Victario's Charity,Laminated Kite Shield,Shield,Unique,,
2026-01-06T20:51:35.3649379+00:00,Unknown,Crypt Armour,Crypt Armour,Body Armour,Rare,,Enchantment Mana Modifier Effect and Attribute Requirements
2026-01-06T20:52:11.0617331+00:00,Unknown,1x Tempering Orb,Tempering Orb,StackableCurrency,,1,
2026-01-06T20:52:11.0617536+00:00,Unknown,Karui Maul,Karui Maul,Two Hand Mace,Rare,,Enchantment Critical Modifier Effect
2026-01-06T20:53:00.2788237+00:00,Unknown,Replica Fencoil,Gnarled Branch,Staff,Unique,,
2026-01-06T20:53:00.2788359+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
2026-01-06T20:53:05.2803771+00:00,Unknown,16x Chaos Orb,Chaos Orb,StackableCurrency,,16,
2026-01-06T20:53:05.2803853+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
2026-01-06T20:53:05.2803892+00:00,Unknown,Replica Quill Rain,Short Bow,Bow,Unique,,
2026-01-06T20:53:38.0336750+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-06T20:53:38.0336986+00:00,Unknown,Replica Earendel's Embrace,Grinning Fetish,Sceptre,Unique,,
2026-01-06T20:53:46.0367988+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-06T20:53:51.0474433+00:00,Unknown,Replica Restless Ward,Carnal Armour,Body Armour,Unique,,
2026-01-06T20:53:51.0474603+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-06T20:53:51.0474633+00:00,Unknown,Replica Earendel's Embrace,Grinning Fetish,Sceptre,Unique,,
2026-01-06T20:53:51.0474725+00:00,Unknown,Replica Heartbreaker,Royal Skean,Rune Dagger,Unique,,
2026-01-06T20:53:51.0474750+00:00,Unknown,Replica Lioneye's Paws,Bronzescale Boots,Boots,Unique,,
2026-01-06T20:54:25.8875301+00:00,Unknown,Convening Wand,Convening Wand,Wand,Rare,,Enchantment Speed Modifier Effect and White Sockets
2026-01-06T20:54:25.8875964+00:00,Unknown,17x Regal Orb,Regal Orb,StackableCurrency,,17,
2026-01-06T20:54:30.8927843+00:00,Unknown,Replica Wings of Entropy,Ezomyte Axe,Two Hand Axe,Unique,,
2026-01-06T20:54:30.8928080+00:00,Unknown,18x Chaos Orb,Chaos Orb,StackableCurrency,,18,
2026-01-06T20:54:30.8928109+00:00,Unknown,Primordial Staff,Primordial Staff,Staff,Rare,,Enchantment Critical Modifier Effect
2026-01-06T20:55:01.6645739+00:00,Unknown,Replica Bloodplay,Stiletto,Dagger,Unique,,
2026-01-06T20:55:01.6646174+00:00,Unknown,19x Orb of Binding,Orb of Binding,StackableCurrency,,19,
2026-01-06T20:55:06.6754933+00:00,Unknown,Replica Kalisa's Grace,Samite Gloves,Gloves,Unique,,
2026-01-06T20:55:06.6755047+00:00,Unknown,Replica Oro's Sacrifice,Infernal Sword,Two Hand Sword,Unique,,
2026-01-06T20:55:06.6755155+00:00,Unknown,20x Vaal Orb,Vaal Orb,StackableCurrency,,20,
2026-01-06T20:55:40.8939182+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-06T20:55:40.8939339+00:00,Unknown,Infernal Blade,Infernal Blade,Rune Dagger,Rare,,
2026-01-06T20:55:45.9060600+00:00,Unknown,Replica Twyzel,Blasting Wand,Wand,Unique,,
2026-01-06T20:55:45.9060854+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-06T20:55:45.9061213+00:00,Unknown,17x Vaal Orb,Vaal Orb,StackableCurrency,,17,
2026-01-06T20:56:14.7597084+00:00,Unknown,Replica Bloodplay,Stiletto,Dagger,Unique,,
2026-01-06T20:56:14.7597288+00:00,Unknown,Replica Paradoxica,Vaal Rapier,Thrusting One Hand Sword,Unique,,
2026-01-06T20:56:19.7681586+00:00,Unknown,Replica Advancing Fortress,Gut Ripper,Claw,Unique,,
2026-01-06T20:56:19.7681769+00:00,Unknown,Replica Innsbury Edge,Elder Sword,One Hand Sword,Unique,,
2026-01-06T20:56:19.7681812+00:00,Unknown,Gladius,Gladius,One Hand Sword,Rare,,Enchantment Critical Modifier Effect and Damage Modifier Effect Penalty
2026-01-06T20:56:51.4632138+00:00,Unknown,17x Chaos Orb,Chaos Orb,StackableCurrency,,17,
2026-01-06T20:56:51.4632281+00:00,Unknown,17x Orb of Scouring,Orb of Scouring,StackableCurrency,,17,
2026-01-06T20:56:56.4927622+00:00,Unknown,Platinum Kris,Platinum Kris,Rune Dagger,Rare,,Enchantment Caster Damage Modifier Effect
2026-01-06T20:56:56.4928170+00:00,Unknown,Vaal Greatsword,Vaal Greatsword,Two Hand Sword,Rare,,Enchantment Speed Modifier Effect
2026-01-06T20:56:56.4928300+00:00,Unknown,Eye Gouger,Eye Gouger,Claw,Rare,,Enchantment Caster Damage Modifier Effect
2026-01-06T20:57:46.2116353+00:00,Unknown,18x Orb of Binding,Orb of Binding,StackableCurrency,,18,
2026-01-06T20:57:46.2116470+00:00,Unknown,Replica Wings of Entropy,Ezomyte Axe,Two Hand Axe,Unique,,
2026-01-06T20:57:51.2297584+00:00,Unknown,Astral Plate,Astral Plate,Body Armour,Rare,,Enchantment Life Modifier Effect
2026-01-06T20:57:51.2297774+00:00,Unknown,Reaver Sword,Reaver Sword,Two Hand Sword,Rare,,Enchantment Fire Modifier Effect and White Sockets
2026-01-06T20:57:51.2297854+00:00,Unknown,Replica Quill Rain,Short Bow,Bow,Unique,,
2026-01-06T20:58:35.0528888+00:00,Unknown,Desert Brigandine,Desert Brigandine,Body Armour,Rare,,Enchantment Resistance Modifier Effect
2026-01-06T20:58:35.0529432+00:00,Unknown,Transfer-attuned Spirit Shield,Transfer-attuned Spirit Shield,Shield,Rare,,
2026-01-06T20:58:40.0641407+00:00,Unknown,Replica Tasalio’s Sign,Sapphire Ring,Ring,Unique,,
2026-01-06T20:58:40.0641775+00:00,Unknown,17x Chaos Orb,Chaos Orb,StackableCurrency,,17,
2026-01-06T20:58:40.0641820+00:00,Unknown,Replica Fencoil,Gnarled Branch,Staff,Unique,,
2026-01-06T20:59:37.2772860+00:00,Unknown,Replica Last Resort,Nailed Fist,Claw,Unique,,
2026-01-06T20:59:37.2773286+00:00,Unknown,20x Chaos Orb,Chaos Orb,StackableCurrency,,20,
2026-01-06T20:59:42.2920110+00:00,Unknown,Replica Victario's Charity,Laminated Kite Shield,Shield,Unique,,
2026-01-06T20:59:42.2920248+00:00,Unknown,Replica Infractem,Decimation Bow,Bow,Unique,,
2026-01-06T20:59:42.2920270+00:00,Unknown,Replica Veil of the Night,Great Helmet,Helmet,Unique,,
2026-01-06T21:00:09.8655731+00:00,Unknown,Imperial Staff,Imperial Staff,Staff,Rare,,Enchantment Attribute Modifier Effect
2026-01-06T21:00:17.5705979+00:00,Unknown,Imperial Staff,Imperial Staff,Staff,Rare,,Enchantment Attribute Modifier Effect
2026-01-06T21:00:22.5832002+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
